Year,State,FIPS Code,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
2004,District of Columbia,11.0,463326.1666666667,313587.75,67.33333333333333,288250.3333333333,62.0,25337.416666666668,7.666666666666667
2004,Florida,12.0,13558862.75,8344749.583333333,61.0,8031494.166666667,58.916666666666664,313255.4166666667,3.1666666666666665
2004,Georgia,13.0,6589697.583333333,4463887.833333333,67.0,4235823.416666667,64.0,228064.41666666666,4.583333333333333
2004,Hawaii,15.0,941334.8333333334,611685.5,64.58333333333333,591523.3333333334,62.25,20162.166666666668,3.0
2004,Idaho,16.0,1028369.6666666666,702929.0833333334,68.0,668768.5,64.5,34160.583333333336,4.333333333333333
2004,Illinois,17.0,9559591.166666666,6347363.583333333,66.0,5955133.083333333,62.0,392230.5,6.0
2004,Indiana,18.0,4715526.166666667,3164744.9166666665,66.75,2993457.75,63.0,171287.16666666666,5.0
2004,Iowa,19.0,2263147.6666666665,1607085.25,71.0,1534377.6666666667,67.08333333333333,72707.58333333333,4.0
2004,Kansas,20.0,2052157.4166666667,1458720.1666666667,70.83333333333333,1378209.8333333333,67.0,80510.33333333333,5.0
2004,Kentucky,21.0,3176063.0,1970014.3333333333,61.666666666666664,1861669.75,58.0,108344.58333333333,5.0
2004,Los Angeles County,37.0,7335136.416666667,4745050.166666667,64.0,4438639.166666667,60.0,306411.0,6.0
2004,Louisiana,22.0,3341006.25,2029872.9166666667,60.166666666666664,1914214.1666666667,57.0,115658.75,5.0
2004,Maine,23.0,1035627.25,685844.8333333334,66.0,653933.5833333334,63.0,31911.25,4.0
2004,Maryland,24.0,4206817.25,2884578.9166666665,68.0,2751687.6666666665,65.0,132891.25,4.0
2004,Massachusetts,25.0,5043900.916666667,3399677.0,66.83333333333333,3225977.0833333335,63.583333333333336,173699.91666666666,4.666666666666667
2004,Michigan,26.0,7706420.0,5053805.25,65.0,4702857.916666667,60.916666666666664,350947.3333333333,6.5
2004,Minnesota,27.0,3893414.25,2892047.0833333335,73.83333333333333,2759484.1666666665,70.33333333333333,132562.91666666666,4.0
2004,Mississippi,28.0,2135239.1666666665,1314868.3333333333,61.0,1234190.4166666667,57.5,80677.91666666667,5.666666666666667
